_______________________________________________________________
Data Size	Timestamp	Resta DataSize	Resta timestamp
_______________________________________________________________
1130		9125		116		34		
1064		9158		66		33		
1021		9192		43		34		
1168		9225		147		33		
1018		9258		150		33		
6431		9292		5413		34		
1122		9325		5309		33		
1159		9358		37		33		
1084		9392		75		34		
1146		9425		62		33		
1104		9458		42		33		
1042		9492		62		34		
1162		9525		120		33		
5365		9559		4203		34		
1012		9592		4353		33		
990		9625		22		33		
1026		9659		36		34		
999		9692		27		33		
968		9725		31		33		
964		9759		4		34		
1094		9792		130		33		
6491		9825		5397		33		
924		9859		5567		34		
1045		9892		121		33		
1139		9926		94		34		
1073		9959		66		33		
1049		9992		24		33		
1059		10026		10		34		
1044		10059		15		33		
6153		10092		5109		33		
10419		10126		4266		34		
2536		10159		7883		33		
1990		10193		546		34		
1762		10226		228		33		
1679		10259		83		33		
1748		10293		69		34		
1546		10326		202		33		
1664		10359		118		33		
5506		10393		3842		34		
568		10426		4938		33		
692		10459		124		33		
810		10493		118		34		
793		10526		17		33		
820		10560		27		34		
854		10593		34		33		
885		10626		31		33		
6161		10660		5276		34		
1005		10693		5156		33		
848		10726		157		33		
911		10760		63		34		
985		10793		74		33		
958		10826		27		33		
1142		10860		184		34		
1059		10893		83		33		
6914		10927		5855		34		
881		10960		6033		33		
832		10993		49		33		
903		11027		71		34		
879		11060		24		33		
993		11093		114		33		
925		11127		68		34		
946		11160		21		33		
7331		11194		6385		34		
1189		11227		6142		33		
923		11260		266		33		
855		11294		68		34		
944		11327		89		33		
998		11360		54		33		
999		11394		1		34		
890		11427		109		33		
7396		11460		6506		33		
459		11494		6937		34		
531		11527		72		33		
568		11561		37		34		
3923		11594		3355		33		
478		11627		3445		33		
541		11661		63		34		
659		11694		118		33		
5839		11727		5180		33		
509		11761		5330		34		
630		11794		121		33		
512		11827		118		33		
4515		11861		4003		34		
1366		11894		3149		33		
1130		11928		236		34		
1069		11961		61		33		
1126		11994		57		33		
1090		12028		36		34		
1115		12061		25		33		
8566		12094		7451		33		
3100		12128		5466		34		
1875		12161		1225		33		
1641		12195		234		34		
1685		12228		44		33		
1736		12261		51		33		
1785		12295		49		34		
1575		12328		210		33		
3851		12361		2276		33		
497		12395		3354		34		
603		12428		106		33		
577		12461		26		33		
639		12495		62		34		
4795		12528		4156		33		
593		12562		4202		34		
644		12595		51		33		
735		12628		91		33		
682		12662		53		34		
670		12695		12		33		
5467		12728		4797		33		
678		12762		4789		34		
648		12795		30		33		
689		12828		41		33		
3792		12862		3103		34		
895		12895		2897		33		
876		12929		19		34		
814		12962		62		33		
781		12995		33		33		
6177		13029		5396		34		
806		13062		5371		33		
866		13095		60		33		
909		13129		43		34		
963		13162		54		33		
900		13196		63		34		
4548		13229		3648		33		
743		13262		3805		33		
702		13296		41		34		
776		13329		74		33		
3904		13362		3128		33		
546		13396		3358		34		
570		13429		24		33		
599		13462		29		33		
5553		13496		4954		34		
724		13529		4829		33		
725		13563		1		34		
711		13596		14		33		
873		13629		162		33		
6394		13663		5521		34		
414		13696		5980		33		
519		13729		105		33		
578		13763		59		34		
5538		13796		4960		33		
597		13829		4941		33		
718		13863		121		34		
819		13896		101		33		
706		13930		113		34		
796		13963		90		33		
4859		13996		4063		33		
888		14030		3971		34		
8826		14063		7938		33		
3468		14096		5358		33		
1245		14130		2223		34		
1380		14163		135		33		
1477		14197		97		34		
1498		14230		21		33		
1487		14263		11		33		
1502		14297		15		34		
3341		14330		1839		33		
536		14363		2805		33		
552		14397		16		34		
620		14430		68		33		
3054		14463		2434		33		
638		14497		2416		34		
651		14530		13		33		
648		14564		3		34		
731		14597		83		33		
763		14630		32		33		
7131		14664		6368		34		
536		14697		6595		33		
577		14730		41		33		
667		14764		90		34		
3806		14797		3139		33		
1125		14830		2681		33		
933		14864		192		34		
872		14897		61		33		
870		14931		2		34		
4542		14964		3672		33		
687		14997		3855		33		
732		15031		45		34		
741		15064		9		33		
3103		15097		2362		33		
907		15131		2196		34		
911		15164		4		33		
903		15198		8		34		
3695		15231		2792		33		
738		15264		2957		33		
784		15298		46		34		
693		15331		91		33		
3828		15364		3135		33		
714		15398		3114		34		
669		15431		45		33		
732		15464		63		33		
4655		15498		3923		34		
1209		15531		3446		33		
776		15565		433		34		
764		15598		12		33		
842		15631		78		33		
825		15665		17		34		
6833		15698		6008		33		
542		15731		6291		33		
616		15765		74		34		
664		15798		48		33		
4557		15831		3893		33		
608		15865		3949		34		
